11-11-2016 23:00,@ipcsac,Sachin Mishra,RT @BJPLucknowBJP: #Salt #Rumours of 400/- Rupees seems to be a Fraud Scheme to collect 100/- Notes from Market. Ignore n report Fraudsters…,7.97E+17,Twitter for Android,65,56,34,0,No,29-12-2010,,BHARAT MATA KI JAI,View
11-11-2016 23:00,@ykjoshi,YOGESH JOSHI,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter Web Client,193,157,1479,0,No,14-05-2009,"New Delhi, India",iOS developer,View
11-11-2016 23:00,@vaibsdave,Vaibhav,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for iPhone,26,64,1479,0,No,01-02-2016,,,View
11-11-2016 23:01,@vjay_kas,Vjay,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for Android,96,471,1479,0,No,13-01-2014,Pune,,View
11-11-2016 23:01,@be_Lucifer,लुसिफर,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for Android,136,283,1479,0,No,09-03-2012,Pandora ,"Smelly cat,smelly cat What are they feeding you?",View
11-11-2016 23:02,@shubashpathania,harry.t2 pathania,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for iPhone,472,963,1479,0,No,16-08-2012,bangkok,,View
11-11-2016 23:02,@manuharjain,Manuhar,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for Android,248,357,1479,0,No,05-01-2010,Mumbai,"Complexity of Thoughts, Excess of Dreams, Short of Patience.... Jack of All, Master of None!!!",View
11-11-2016 23:02,@nanchahalz,Maverick,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for Android,110,91,1479,0,No,11-09-2009,Searching........,Travel and Food shows aficionado/ MBA-Finance/ Ideologically Agnostic/Skeptic/Abhor Kejri style of Politics / Aaptards and ilk stay away,View
11-11-2016 23:03,@milinj26,Milin,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for Android,241,212,1479,0,No,23-02-2015,,,View
11-11-2016 23:04,@VidyeshRTupkary,Vidyesh R Tupkary,"RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos, later…",7.97E+17,Twitter for iPhone,117,54,1479,0,No,13-01-2012,,Faculty with Art of Living. Mission to bring smile on every face. Make ur Life 80 yrs picnic on this planet. I also like innovations,View
