"11-12-2016 10:08	@T0laha	Tolaha	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter Web Client	15	44	1479	0	No	12-06-2015			View",,,,
"11-12-2016 10:15	@Parasiya	Hindustani@Heart	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	172	341	1479	0	No	03-03-2009	""Malmö"," Sweden""	""I do not like bells and whistles", feel humbled by honest and simple persons," carry a strong nationalistic feeling and not shy to claim as being a proud Hindu!""	View",
"11-12-2016 10:21	@mrigankgaurav	Mrigank	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	481	553	1479	0	No	22-01-2009	ग़लतफहमी 	#WeAreUnited #MUFC	View",,,,
"11-12-2016 10:22	@mrigankgaurav	Mrigank	""RT @TopRT_IN: @Being_Humor: """"Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer…"""" #1 in #India https://t.co/ehjoEexa5t""	7.98E+17	Twitter for Android	481	553	1	0	No	22-01-2009	ग़लतफहमी 	#WeAreUnited #MUFC	View",,,,,
"11-12-2016 10:30	@ugramveeram123	UgramVeeram	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter Web Client	2461	2595	1479	0	No	31-10-2014	Bangalore	Confusing.....	View",,,,
"11-12-2016 10:51	@iknow061187	Iknow	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for iPhone	24	107	1479	0	No	26-10-2016			View",,,,
"11-12-2016 10:52	@niksnirav	Nirav Ribadiya	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for iPhone	54	68	1479	0	No	21-07-2010	""Rajkot"," India""	Architect	View",,,
"11-12-2016 11:22	@VPaniker	Vikas	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	117	187	1479	0	No	22-05-2013	""Fort Kochi"," Cochin""	IT consultant.	View",,,
"11-12-2016 11:23	@iRajSingh28	Raj Singh	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	463	1667	1479	0	No	07-03-2012	""New Delhi"," India""	Who's awesome? You're awesome. 👆🏻#iRajSingh28	View",,,
"11-12-2016 11:27	@ankitshah8086	Ankit	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	384	871	1479	0	No	21-09-2012	Bombay	make me laugh and I'll RT that shit.. :)	View",,,,
"11-12-2016 11:44	@samjpr	saMBrat	Akhbar padhkar mat aana! #rumours #salt https://t.co/Z5gxyfE8vT	7.98E+17	Twitter for Android	3738	2538	0	0	No	20-11-2010	India	Principal Correspondent | News18 | Jaipur | The opinions expressed here represent my own	View",,,,,
"11-12-2016 11:55	@DesiToCore	Himani	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Mobile Web (M5)	1868	1061	1479	0	No	25-09-2013		""Fashionista", Shopaholic,Vintage Lover, Creative professional," Diehard Narendra Modi supporter""	View"
"11-12-2016 11:57	@purushottam_kr	PURUSHOTTAM KUMAR	""RT @Being_Humor: Hi @MumbaiPolice #salt #rumours were spread by AAM AADMI PARTY Volunteer @sachintyagica. He tweeted to create chaos"," later…""	7.98E+17	Twitter for Android	51	77	1479	0	No	11-03-2010	INDIA	INDIAN	View",,,,
